Source,Field,Field(lower),Descriptor,Label,category,text
Immunology  Extractable Immuno,Low,low,This field represents the normal lower limit for a laboratory test based on patient age and or sex   ,object,object,Immunology  Extractable Immuno Low This field represents the normal lower limit for a laboratory test based on patient age and or sex   
f referral Optimum Patient Car,speciality_term,speciality_term,Free text for referral specialty,object,object,f referral Optimum Patient Car speciality_term Free text for referral specialty
Cataracts Biometry Cataract su,AConstantDesc,aconstantdesc,AConstantDesc,object,object,Cataracts Biometry Cataract su AConstantDesc AConstantDesc
Haematology  Lab Data Restruct,ReadCodeScheme,readcodescheme,Read code scheme used by the local lab system for read code fields  e g  R1 ,object,object,Haematology  Lab Data Restruct ReadCodeScheme Read code scheme used by the local lab system for read code fields  e g  R1 
Cataracts Biometry Cataract su,IOLModelFE,iolmodelfe,IOLModelFE,object,object,Cataracts Biometry Cataract su IOLModelFE IOLModelFE
Cataracts Biometry Cataract su,AScanDescFE,ascandescfe,AScanDescFE,object,object,Cataracts Biometry Cataract su AScanDescFE AScanDescFE
Haematology  Lab Data Restruct,RangeUnit,rangeunit,Units of the guideline values presented in the RangeHighValue and RangeLowValue fields  HIC Observation  Don t assume that these units match those of the QuantityValue and Unit  ,object,object,Haematology  Lab Data Restruct RangeUnit Units of the guideline values presented in the RangeHighValue and RangeLowValue fields  HIC Observation  Don t assume that these units match those of the QuantityValue and Unit  
Cataracts Biometry Cataract su,BiometryTypeDescFE,biometrytypedescfe,BiometryTypeDescFE,object,object,Cataracts Biometry Cataract su BiometryTypeDescFE BiometryTypeDescFE
Biochemistry  Lab Data Restruc,QuantityValue,quantityvalue,The result of the test being carried out  This field contains numeric data only   ,object,object,Biochemistry  Lab Data Restruc QuantityValue The result of the test being carried out  This field contains numeric data only   
Haematology  Lab Data Restruct,ReadCodeDescription,readcodedescription,This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  ,object,object,Haematology  Lab Data Restruct ReadCodeDescription This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  
Haematology  Lab Data Restruct,TestSet_ReadCodeScheme,testset_readcodescheme,Read code scheme used by the local lab system for read code fields  e g  R1 ,object,object,Haematology  Lab Data Restruct TestSet_ReadCodeScheme Read code scheme used by the local lab system for read code fields  e g  R1 
Grading Eye images and retinop,procedureName,procedurename,The name  type  of the procedure being recorded,object,object,Grading Eye images and retinop procedureName The name  type  of the procedure being recorded
Cataracts Biometry Cataract su,KeratometerDesc,keratometerdesc,KeratometerDesc,object,object,Cataracts Biometry Cataract su KeratometerDesc KeratometerDesc
Haematology  Lab Data Restruct,TestSet_LocalClinicalCodeDescription,testset_localclinicalcodedescription,Description of LocalClinicalCode ,object,object,Haematology  Lab Data Restruct TestSet_LocalClinicalCodeDescription Description of LocalClinicalCode 
Biochemistry  Lab Data Restruc,ClinicalDataRequired,clinicaldatarequired,Contains comments from the original requestor  May give the reason for requesting the test  or comments on condition  last eaten etc  This field is not populated for legacy  TS   07  data  ,object,object,Biochemistry  Lab Data Restruc ClinicalDataRequired Contains comments from the original requestor  May give the reason for requesting the test  or comments on condition  last eaten etc  This field is not populated for legacy  TS   07  data  
Haematology  Lab Data Restruct,RangeHighValue,rangehighvalue,Maximum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  ,object,object,Haematology  Lab Data Restruct RangeHighValue Maximum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  
Haematology  Lab Data Restruct,TestSet_LocalClinicalCodeScheme,testset_localclinicalcodescheme,No Column Description Available,object,object,Haematology  Lab Data Restruct TestSet_LocalClinicalCodeScheme No Column Description Available
Cataracts Biometry Cataract su,BiometryTypeDesc,biometrytypedesc,BiometryTypeDesc,object,object,Cataracts Biometry Cataract su BiometryTypeDesc BiometryTypeDesc
Biochemistry  Lab Data Restruc,Interpretation,interpretation,Contains comments regarding the result  ,object,object,Biochemistry  Lab Data Restruc Interpretation Contains comments regarding the result  
Haematology  Lab Data Restruct,LocalClinicalCodeScheme,localclinicalcodescheme,No Column Description Available,object,object,Haematology  Lab Data Restruct LocalClinicalCodeScheme No Column Description Available
Cataracts Biometry Cataract su,IOLFormulaDesc,iolformuladesc,IOLFormulaDesc,object,object,Cataracts Biometry Cataract su IOLFormulaDesc IOLFormulaDesc
f therapy Optimum Patient Care,quantity,quantity,Number of units dispensed,object,object,f therapy Optimum Patient Care quantity Number of units dispensed
Immunology  Extractable Immuno,Units,units,This field represents the units of the test code  e g  HGB   g dL    ,object,object,Immunology  Extractable Immuno Units This field represents the units of the test code  e g  HGB   g dL    
Biochemistry  Lab Data Restruc,RangeLowValue,rangelowvalue,Minimum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  ,object,object,Biochemistry  Lab Data Restruc RangeLowValue Minimum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  
Cataracts Biometry Cataract su,AConstantValue,aconstantvalue,AConstantValue,object,object,Cataracts Biometry Cataract su AConstantValue AConstantValue
Observations Eye images and re,procedureName,procedurename,Name of the procedure level the observation is recorded for,object,object,Observations Eye images and re procedureName Name of the procedure level the observation is recorded for
d practice Optimum Patient Car,system,system,System installed  Emis  System One  Vision  etc ,object,object,d practice Optimum Patient Car system System installed  Emis  System One  Vision  etc 
Demographics Eye images and re,patSex,patsex,The sex at birth e g  M,person,person,Demographics Eye images and re patSex The sex at birth e g  M
patients Cataract surgery and ,isDead,isdead,has the patient died ,person,person,patients Cataract surgery and  isDead has the patient died 
Biochemistry  Lab Data Restruc,RequestingPartyPosition,requestingpartyposition,Position held by the party requesting the test results  for example  this might be GP or Consultant  ,person,person,Biochemistry  Lab Data Restruc RequestingPartyPosition Position held by the party requesting the test results  for example  this might be GP or Consultant  
d patient Optimum Patient Care,year_of_birth,year_of_birth,Year of birth  YYYY ,person,person,d patient Optimum Patient Care year_of_birth Year of birth  YYYY 
Demographics Eye images and re,lastModifiedDate,lastmodifieddate,Date patient demographics was modified,person,person,Demographics Eye images and re lastModifiedDate Date patient demographics was modified
Haematology  Lab Data Restruct,RequestingPartyPosition,requestingpartyposition,Position held by the party requesting the test results  for example  this might be GP or Consultant  ,person,person,Haematology  Lab Data Restruct RequestingPartyPosition Position held by the party requesting the test results  for example  this might be GP or Consultant  
patients Cataract surgery and ,PerturbeddateOfDeath,perturbeddateofdeath,patients date of death,person,person,patients Cataract surgery and  PerturbeddateOfDeath patients date of death
Cataracts Biometry Cataract su,ageAtTimeOfCapture,ageattimeofcapture,patient age,person,person,Cataracts Biometry Cataract su ageAtTimeOfCapture patient age
patients Cataract surgery and ,patEthnicityDesc,patethnicitydesc,patient s ethnicity description,person,person,patients Cataract surgery and  patEthnicityDesc patient s ethnicity description
Demographics Eye images and re,isSmoker,issmoker,This is the current smoking status of the patient e g  FALSE,person,person,Demographics Eye images and re isSmoker This is the current smoking status of the patient e g  FALSE
d patient Optimum Patient Care,current,current,Validity of patient  1   valid  0   non valid ,person,person,d patient Optimum Patient Care current Validity of patient  1   valid  0   non valid 
patients Cataract surgery and ,patGender,patgender,patient s gender,person,person,patients Cataract surgery and  patGender patient s gender
patients Cataract surgery and ,patEthnicityCode,patethnicitycode,patient s ethnicity code,person,person,patients Cataract surgery and  patEthnicityCode patient s ethnicity code
patients Cataract surgery and ,PerturbeddateOfBirth,perturbeddateofbirth,patients date of birth,person,person,patients Cataract surgery and  PerturbeddateOfBirth patients date of birth
Demographics Eye images and re,dateOfBirth,dateofbirth,Patient date of birth e g  1946 02 21,person,person,Demographics Eye images and re dateOfBirth Patient date of birth e g  1946 02 21
Cataracts Biometry Cataract su,Biometrist,biometrist,Biometrist,person,person,Cataracts Biometry Cataract su Biometrist Biometrist
d patient Optimum Patient Care,sex_coded,sex_coded,Patient sex  0   Female  1   Male  2   Intersex ,person,person,d patient Optimum Patient Care sex_coded Patient sex  0   Female  1   Male  2   Intersex 
Demographics Eye images and re,isDead,isdead,The patient death status e g  FALSE,person,person,Demographics Eye images and re isDead The patient death status e g  FALSE
Demographics Eye images and re,dateOfDeath,dateofdeath,Patient date of death e g  2016 01 14,person,person,Demographics Eye images and re dateOfDeath Patient date of death e g  2016 01 14
Haematology  Lab Data Restruct,RequestingPartyName,requestingpartyname,No Column Description Available,person,person,Haematology  Lab Data Restruct RequestingPartyName No Column Description Available
Demographics Eye images and re,patEthnicity,patethnicity,The patients Ethnicity e g  British,person,person,Demographics Eye images and re patEthnicity The patients Ethnicity e g  British
d patient Optimum Patient Care,status,status,Patient registration status  R   Registered  L   Left  D   Deregistered  T   Temporary  C   Cancelled ,person,person,d patient Optimum Patient Care status Patient registration status  R   Registered  L   Left  D   Deregistered  T   Temporary  C   Cancelled 
f referral Optimum Patient Car,created_datetime,created_datetime,Record creation time,time,time,f referral Optimum Patient Car created_datetime Record creation time
d patient Optimum Patient Care,first_clinical_dte,first_clinical_dte,First valid date from clinical table  f clinical ,time,time,d patient Optimum Patient Care first_clinical_dte First valid date from clinical table  f clinical 
d patient Optimum Patient Care,joined_date,joined_date,Date the patient joined the practice,time,time,d patient Optimum Patient Care joined_date Date the patient joined the practice
d patient Optimum Patient Care,created_datetime,created_datetime,Record creation time,time,time,d patient Optimum Patient Care created_datetime Record creation time
Pathology  Tayside ,DateAuthorised,dateauthorised,This field represents the date of the first authorisation of a report for the request ,time,time,Pathology  Tayside  DateAuthorised This field represents the date of the first authorisation of a report for the request 
d patient Optimum Patient Care,first_therapy_dte,first_therapy_dte,First valid date from therapy table  f therapy ,time,time,d patient Optimum Patient Care first_therapy_dte First valid date from therapy table  f therapy 
Grading Eye images and retinop,dateOfEncounter,dateofencounter,Format yyyy mm dd,time,time,Grading Eye images and retinop dateOfEncounter Format yyyy mm dd
Pathology  Tayside ,DateofReceipt,dateofreceipt,This field up until the beginning of 2016  reflected the date that the request was booked into the LIMS  From 2016 onwards  it is the date that the request was received in the department  ,time,time,Pathology  Tayside  DateofReceipt This field up until the beginning of 2016  reflected the date that the request was booked into the LIMS  From 2016 onwards  it is the date that the request was received in the department  
d patient Optimum Patient Care,updated_datetime,updated_datetime,Record updated time,time,time,d patient Optimum Patient Care updated_datetime Record updated time
Haematology  Lab Data Restruct,DateTimeReceived,datetimereceived,No Column Description Available,time,time,Haematology  Lab Data Restruct DateTimeReceived No Column Description Available
Pathology  Tayside ,DateofSpecimen,dateofspecimen,This field represents the date of the procedure that produced the specimen ,time,time,Pathology  Tayside  DateofSpecimen This field represents the date of the procedure that produced the specimen 
d practice Optimum Patient Car,updated_datetime,updated_datetime,Record updated time,time,time,d practice Optimum Patient Car updated_datetime Record updated time
Cataracts Biometry Cataract su,TimeLocationDesc,timelocationdesc,TimeLocationDesc,time,time,Cataracts Biometry Cataract su TimeLocationDesc TimeLocationDesc
f clinical Optimum Patient Car,recorded_date,recorded_date,Date when record was created in the practice,time,time,f clinical Optimum Patient Car recorded_date Date when record was created in the practice
d patient Optimum Patient Care,leaving_date,leaving_date,Date the patient left the practice,time,time,d patient Optimum Patient Care leaving_date Date the patient left the practice
Cataracts Biometry Cataract su,TimeIntervalDesc,timeintervaldesc,TimeIntervalDesc,time,time,Cataracts Biometry Cataract su TimeIntervalDesc TimeIntervalDesc
f clinical Optimum Patient Car,event_date,event_date,Date when the clinical event was logged,time,time,f clinical Optimum Patient Car event_date Date when the clinical event was logged
Pathology  Tayside ,DateBookedIn,datebookedin,This field represents the date that the request is booked into the LIMS  Up until the end of 2015  this field will be identical to the Date Received field  From the beginning of 2016  it may differ  ,time,time,Pathology  Tayside  DateBookedIn This field represents the date that the request is booked into the LIMS  Up until the end of 2015  this field will be identical to the Date Received field  From the beginning of 2016  it may differ  
f clinical Optimum Patient Car,created_datetime,created_datetime,Record creation time,time,time,f clinical Optimum Patient Car created_datetime Record creation time
f clinical Optimum Patient Car,updated_datetime,updated_datetime,Record updated time,time,time,f clinical Optimum Patient Car updated_datetime Record updated time
Screening Eye images and retin,dateOfScreening,dateofscreening,Format yyyy mm dd,time,time,Screening Eye images and retin dateOfScreening Format yyyy mm dd
f therapy Optimum Patient Care,created_datetime,created_datetime,Record creation time,time,time,f therapy Optimum Patient Care created_datetime Record creation time
d patient Optimum Patient Care,last_therapy_dte,last_therapy_dte,Last valid date from therapy table  f therapy   excluding dates that occur after the last extraction ,time,time,d patient Optimum Patient Care last_therapy_dte Last valid date from therapy table  f therapy   excluding dates that occur after the last extraction 
d practice Optimum Patient Car,created_datetime,created_datetime,Record creation time,time,time,d practice Optimum Patient Car created_datetime Record creation time
Cataracts Biometry Cataract su,BiometryDate,biometrydate,BiometryDate,time,time,Cataracts Biometry Cataract su BiometryDate BiometryDate
f referral Optimum Patient Car,updated_datetime,updated_datetime,Record updated time,time,time,f referral Optimum Patient Car updated_datetime Record updated time
d patient Optimum Patient Care,last_clinical_dte,last_clinical_dte,Last valid date from clinical table  excluding administrative codes  9�Ǫ   and dates that occur after the last extraction ,time,time,d patient Optimum Patient Care last_clinical_dte Last valid date from clinical table  excluding administrative codes  9�Ǫ   and dates that occur after the last extraction 
f therapy Optimum Patient Care,updated_datetime,updated_datetime,Record updated time,time,time,f therapy Optimum Patient Care updated_datetime Record updated time
Pathology  Tayside ,DateLastAuthorised,datelastauthorised,This field represents the date of the most recent authorisation of a report for the request  In the majority of the cases  this will be identical to the date authorised  Where the date differs  it is most likely to be caused by the production of a supplementary report with more information  very occasionally because the report has been amended to correct or clarify information  or sometimes for administration purposes and there will be no obvious change to the data ,time,time,Pathology  Tayside  DateLastAuthorised This field represents the date of the most recent authorisation of a report for the request  In the majority of the cases  this will be identical to the date authorised  Where the date differs  it is most likely to be caused by the production of a supplementary report with more information  very occasionally because the report has been amended to correct or clarify information  or sometimes for administration purposes and there will be no obvious change to the data 
Haematology  Lab Data Restruct,DateTimeSampled,datetimesampled,This is the date and time when the sample was taken from the patient  ,time,time,Haematology  Lab Data Restruct DateTimeSampled This is the date and time when the sample was taken from the patient  
Haematology  Lab Data Restruct,hic_validFrom,hic_validfrom,The date the record was loaded by hic into the LIVE hic data repository ,time,time,Haematology  Lab Data Restruct hic_validFrom The date the record was loaded by hic into the LIVE hic data repository 
Observations Eye images and re,dateOfObservation,dateofobservation,Name of the observation being recorded,time,time,Observations Eye images and re dateOfObservation Name of the observation being recorded
f therapy Optimum Patient Care,recorded_date,recorded_date,Date when record was created in the practice,time,time,f therapy Optimum Patient Care recorded_date Date when record was created in the practice
f therapy Optimum Patient Care,event_date,event_date,Date when the therapy event was logged,time,time,f therapy Optimum Patient Care event_date Date when the therapy event was logged
Demographics Eye images and re,firstRegistered,firstregistered,Date patient was first registered at hospital e g  1978 12 25,time,time,Demographics Eye images and re firstRegistered Date patient was first registered at hospital e g  1978 12 25
Biochemistry  Lab Data Restruc,DateTimeSampled,datetimesampled,This is the date and time when the sample was taken from the patient  ,time,time,Biochemistry  Lab Data Restruc DateTimeSampled This is the date and time when the sample was taken from the patient  
Immunology  Extractable Immuno,Sample_date,sample_date,This field indicates the date when the sample was taken  It is in the format dd MMM yyyy  e g  12 Oct 2011   Note that in the new system 99 the time element is included aswell as the date  ,time,time,Immunology  Extractable Immuno Sample_date This field indicates the date when the sample was taken  It is in the format dd MMM yyyy  e g  12 Oct 2011   Note that in the new system 99 the time element is included aswell as the date  
Z CHP CASE IN,FALAR,falar,IS H  Case Type,event,event,Z CHP CASE IN FALAR IS H  Case Type
Z CHP DRG,CANCEL_FLAG,cancel_flag,IS H  Cancellation Indicator,event,event,Z CHP DRG CANCEL_FLAG IS H  Cancellation Indicator
Z CHP CASE IN,STORN,storn,IS H  Cancellation Indicator,event,event,Z CHP CASE IN STORN IS H  Cancellation Indicator
SAP IS H Case Attribute,REONE,reone,Other Diagnosis One When Discharge,event,event,SAP IS H Case Attribute REONE Other Diagnosis One When Discharge
Z CHP DRG,SOI,soi,IS H  Severity of Illness  for DRG Purposes ,event,event,Z CHP DRG SOI IS H  Severity of Illness  for DRG Purposes 
SAP IS H Case Attribute,TCMCD,tcmcd,TCM  Traditional Chinese Medicine  Diagnosis,event,event,SAP IS H Case Attribute TCMCD TCM  Traditional Chinese Medicine  Diagnosis
SAP IS H Case Attribute,ICPOT,icpot,Other Surgical Procedure Code  Service ,event,event,SAP IS H Case Attribute ICPOT Other Surgical Procedure Code  Service 
Z CHP DRG,LFDNR,lfdnr,IS H  Sequence Number of Movement,event,event,Z CHP DRG LFDNR IS H  Sequence Number of Movement
Z CHP DRG,ROM,rom,IS H  Risk of Mortality  for DRG Purposes ,event,event,Z CHP DRG ROM IS H  Risk of Mortality  for DRG Purposes 
Z CHP DRG,COST_WEIGHT,cost_weight,IS H  Cost Weight for DRGs,event,event,Z CHP DRG COST_WEIGHT IS H  Cost Weight for DRGs
SAP IS H Case Attribute,OURUT,ourut,External Causes for Injury and Poisoning,event,event,SAP IS H Case Attribute OURUT External Causes for Injury and Poisoning
Z CHP CASE OUT,BEWTY,bewty,Movement Category,event,event,Z CHP CASE OUT BEWTY Movement Category
Z CHP Procedure,LNRIC,lnric,IS H  Sequence Number of Surgical Procedure Code,event,event,Z CHP Procedure LNRIC IS H  Sequence Number of Surgical Procedure Code
Z CHP CASE IN,LFDNR,lfdnr,IS H  Sequence Number of Movement,event,event,Z CHP CASE IN LFDNR IS H  Sequence Number of Movement
Z CHP Procedure,STORN,storn,IS H  Cancellation Indicator,event,event,Z CHP Procedure STORN IS H  Cancellation Indicator
Z CHP DRG,LFDNR,lfdnr,IS H  Sequence Number of Movement,event,event,Z CHP DRG LFDNR IS H  Sequence Number of Movement
Z CHP CASE OUT,LFDNR,lfdnr,IS H  Sequence Number of Movement,event,event,Z CHP CASE OUT LFDNR IS H  Sequence Number of Movement
Z CHP DRG,DRG_SEQNO,drg_seqno,Sequence Number of a Case Related DRG,event,event,Z CHP DRG DRG_SEQNO Sequence Number of a Case Related DRG
SAP IS H Case Attribute,RETWO,retwo,Other Diagnosis Two When Discharge,event,event,SAP IS H Case Attribute RETWO Other Diagnosis Two When Discharge
SAP IS H Case Attribute,DSDIA,dsdia,Main Diagnosis at Discharge,event,event,SAP IS H Case Attribute DSDIA Main Diagnosis at Discharge
Z CHP Procedure,ICPML,icpml,IS H  Surgical Procedure Code  Service ,event,event,Z CHP Procedure ICPML IS H  Surgical Procedure Code  Service 
Z CHP CASE IN,ABRKZ,abrkz,IS H  Billing Indicator for Case,event,event,Z CHP CASE IN ABRKZ IS H  Billing Indicator for Case
Z CHP CASE IN,FALNR,falnr,IS H  Case Number,event,event,Z CHP CASE IN FALNR IS H  Case Number
SAP IS H Case Attribute,AMCON,amcon,Patient Admitting Condition,event,event,SAP IS H Case Attribute AMCON Patient Admitting Condition
Z CHP Procedure,FALNR,falnr,IS H  Case Number,key,key,Z CHP Procedure FALNR IS H  Case Number
SAP IS H DataSource for Patient,PATNR,patnr,IS H  Patient Number,key,key,SAP IS H DataSource for Patient PATNR IS H  Patient Number
SAP IS H Case Attribute,FALNR,falnr,IS H  Case Number,key,key,SAP IS H Case Attribute FALNR IS H  Case Number
Z CHP DRG,PATCASEID,patcaseid,IS H  Case Number,key,key,Z CHP DRG PATCASEID IS H  Case Number
Z CHP Procedure,PATNR,patnr,IS H  Patient Number,key,key,Z CHP Procedure PATNR IS H  Patient Number
Z CHP CASE IN,PATNR,patnr,IS H  Patient Number,key,key,Z CHP CASE IN PATNR IS H  Patient Number
Z CHP CASE OUT,PATNR,patnr,IS H  Patient Number,key,key,Z CHP CASE OUT PATNR IS H  Patient Number
Z CHP DRG,PATNR,patnr,IS H  Patient Number,key,key,Z CHP DRG PATNR IS H  Patient Number
Z CHP CASE OUT,ORGPF,orgpf,Organizational Unit Assigned to Case,location,location,Z CHP CASE OUT ORGPF Organizational Unit Assigned to Case
Z CHP DRG,INSTITUTION,institution,Institution,location,location,Z CHP DRG INSTITUTION Institution
Z CHP CASE IN,EINRI,einri,Institution,location,location,Z CHP CASE IN EINRI Institution
SAP IS H DataSource for Patient,EINRI,einri,IS H  Institution,location,location,SAP IS H DataSource for Patient EINRI IS H  Institution
Z CHP CASE OUT,EINRI,einri,Institution,location,location,Z CHP CASE OUT EINRI Institution
Z CHP CASE IN,ORGFA,orgfa,IS H  OU with Departmental Responsibility for Case,location,location,Z CHP CASE IN ORGFA IS H  OU with Departmental Responsibility for Case
Z CHP Procedure,ORGFA,orgfa,IS H  OU with Departmental Responsibility for Case,location,location,Z CHP Procedure ORGFA IS H  OU with Departmental Responsibility for Case
Z CHP DRG,ORGFA,orgfa,IS H  OU with Departmental Responsibility for Case,location,location,Z CHP DRG ORGFA IS H  OU with Departmental Responsibility for Case
Z CHP CASE OUT,FALAR,falar,IS H  Case Type,object,object,Z CHP CASE OUT FALAR IS H  Case Type
SAP IS H DataSource for Object ,KEY1,key1,Key Field for Text DataSource,object,object,SAP IS H DataSource for Object  KEY1 Key Field for Text DataSource
SAP IS H DataSource for Object ,TXTSH,txtsh,Short Description,object,object,SAP IS H DataSource for Object  TXTSH Short Description
Z CHP Procedure,FALAR,falar,IS H  Case Type,object,object,Z CHP Procedure FALAR IS H  Case Type
SAP IS H DataSource for Object ,LANGU,langu,Language Key,object,object,SAP IS H DataSource for Object  LANGU Language Key
Z CHP DRG,DRG_CODE,drg_code,IS H  DRG Code,object,object,Z CHP DRG DRG_CODE IS H  DRG Code
Z CHP DRG,MDC_CAT,mdc_cat,IS H  Catalog for Major Diagnostic Category  MDC ,object,object,Z CHP DRG MDC_CAT IS H  Catalog for Major Diagnostic Category  MDC 
SAP IS H DataSource for Object ,TXTLG,txtlg,Long Description,object,object,SAP IS H DataSource for Object  TXTLG Long Description
Z CHP CASE IN,BEWTY,bewty,Movement Category,object,object,Z CHP CASE IN BEWTY Movement Category
Z CHP Procedure,ICPMK,icpmk,IS H  Identification of Surgical Procedure Coding Catalog,object,object,Z CHP Procedure ICPMK IS H  Identification of Surgical Procedure Coding Catalog
SAP IS H DataSource for Object ,TXTMD,txtmd,Medium Description,object,object,SAP IS H DataSource for Object  TXTMD Medium Description
Z CHP DRG,MDC_CODE,mdc_code,IS H  Code of Major Diagnostic Category  MDC ,object,object,Z CHP DRG MDC_CODE IS H  Code of Major Diagnostic Category  MDC 
SAP IS H Case Attribute,FALAR,falar,IS H  Case Type,object,object,SAP IS H Case Attribute FALAR IS H  Case Type
SAP IS H DataSource for Patient,TXTMD,txtmd,Medium Description,person,person,SAP IS H DataSource for Patient TXTMD Medium Description
SAP IS H DataSource for Patient,TXTLG,txtlg,Description  Long ,person,person,SAP IS H DataSource for Patient TXTLG Description  Long 
Z CHP CASE OUT,BEGDT,begdt,IS H  Start Date of Case,time,time,Z CHP CASE OUT BEGDT IS H  Start Date of Case
Z CHP CASE OUT,ENDDT,enddt,IS H  End Date of Case,time,time,Z CHP CASE OUT ENDDT IS H  End Date of Case
SAP IS H Case Attribute,BGDOP,bgdop,Surgical Procedure Date,time,time,SAP IS H Case Attribute BGDOP Surgical Procedure Date
Z CHP CASE IN,BWIZT,bwizt,IS H  Time of Movement,time,time,Z CHP CASE IN BWIZT IS H  Time of Movement
Z CHP CASE OUT,BWIDT,bwidt,IS H  Date of Movement,time,time,Z CHP CASE OUT BWIDT IS H  Date of Movement
Z CHP CASE IN,BWEDT,bwedt,IS H  Movement End Date  Start Date of Subsequent Movement,time,time,Z CHP CASE IN BWEDT IS H  Movement End Date  Start Date of Subsequent Movement
Z CHP Procedure,BGDOP,bgdop,IS H  Date when Surgical Procedure Code Performed,time,time,Z CHP Procedure BGDOP IS H  Date when Surgical Procedure Code Performed
Z CHP CASE IN,BWIDT,bwidt,IS H  Date of Movement,time,time,Z CHP CASE IN BWIDT IS H  Date of Movement
Z CHP DRG,DRG_CREAT_DATE,drg_creat_date,Date when DRG Was Determined,time,time,Z CHP DRG DRG_CREAT_DATE Date when DRG Was Determined
Z CHP DRG,DRG_CREAT_TIME,drg_creat_time,Time when DRG Was Determined,time,time,Z CHP DRG DRG_CREAT_TIME Time when DRG Was Determined
Z CHP CASE IN,TIMESTAMP,timestamp,Timestamp in Short Form  YYYYMMDDhhmmss ,time,time,Z CHP CASE IN TIMESTAMP Timestamp in Short Form  YYYYMMDDhhmmss 
Z CHP CASE IN,BWEZT,bwezt,IS H  Movement End Time  Start Time of Subsequent Movement,time,time,Z CHP CASE IN BWEZT IS H  Movement End Time  Start Time of Subsequent Movement
SAP IS H Case Attribute,CFDAT,cfdat,Diagnosis Confirmed Date After Admission,time,time,SAP IS H Case Attribute CFDAT Diagnosis Confirmed Date After Admission
SAP IS H DataSource for Object ,DATEFROM,datefrom,Valid From Date,time,time,SAP IS H DataSource for Object  DATEFROM Valid From Date
SAP IS H Case Attribute,DISDT,disdt,Discharge Date,time,time,SAP IS H Case Attribute DISDT Discharge Date
Z CHP CASE OUT,BWIZT,bwizt,IS H  Time of Movement,time,time,Z CHP CASE OUT BWIZT IS H  Time of Movement
SAP IS H DataSource for Patient,ERDAT,erdat,Date on Which Record Was Created,time,time,SAP IS H DataSource for Patient ERDAT Date on Which Record Was Created
Z CHP CASE OUT,TIMESTAMP,timestamp,Timestamp in Short Form  YYYYMMDDhhmmss ,time,time,Z CHP CASE OUT TIMESTAMP Timestamp in Short Form  YYYYMMDDhhmmss 
SAP IS H DataSource for Patient,UPDAT,updat,Date of the last change of an object,time,time,SAP IS H DataSource for Patient UPDAT Date of the last change of an object
SAP IS H DataSource for Object ,DATETO,dateto,Valid To Date,time,time,SAP IS H DataSource for Object  DATETO Valid To Date
Z CHP DRG,TIMESTAMP,timestamp,Timestamp in Short Form  YYYYMMDDhhmmss ,time,time,Z CHP DRG TIMESTAMP Timestamp in Short Form  YYYYMMDDhhmmss 
