Source,Field,Field(lower),Tokenized Source,Descriptor,Tokenized Descriptor,Label,category,text
Haematology  Lab Data Restruct,ProvidingOrganisationType,providingorganisationtype,haematology lab data restruct,Type of organisation providing the test results  For legacy data  this contains either  Hospital   HIC data   Pre98 or Hospital   HIC data   Post98 as appropriate  ,type organisation providing test results legacy data contains either hospital hic data pre98 hospital hic data post98 appropriate,location,location,haematology lab data restruct providingorganisationtype type organisation providing test results legacy data contains either hospital hic data pre98 hospital hic data post98 appropriate
Demographics Eye images and re,msoa,msoa,demographics eye images,Middle layer super output area e g  E02000001,middle layer super output area e g e02000001,location,location,demographics eye images msoa middle layer super output area e g e02000001
Biochemistry  Lab Data Restruc,RequestingOrganisationName,requestingorganisationname,biochemistry lab data restruc,The laboratory providing the sample  For legacy data  this contains the record source  for example  Ninewells Data prior to Pinnacle Perth Masterlab Perth data from Ilims system Ninewells Pinnacle Data ,laboratory providing sample legacy data contains record source example ninewells data prior pinnacle perth masterlab perth data ilims system ninewells pinnacle data,location,location,biochemistry lab data restruc requestingorganisationname laboratory providing sample legacy data contains record source example ninewells data prior pinnacle perth masterlab perth data ilims system ninewells pinnacle data
d practice Optimum Patient Car,training_practice,training_practice,practice optimum patient car,Indicator if the practice is a NHS training practice   1   Yes  0   No   Training practices should have more robust coding of pre existing conditions when patients join ,indicator practice nhs training practice 1 yes 0 training practices robust coding pre existing conditions patients join,location,location,practice optimum patient car training_practice indicator practice nhs training practice 1 yes 0 training practices robust coding pre existing conditions patients join
Haematology  Lab Data Restruct,RangeLowValue,rangelowvalue,haematology lab data restruct,Minimum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  ,minimum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time,object,object,haematology lab data restruct rangelowvalue minimum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time
Immunology  Extractable Immuno,Sample_type,sample_type,immunology extractable immuno,This field represents the type of sample taken for the test  The pre 2005 sample type is all D  ,field represents type sample taken test pre 2005 sample type,object,object,immunology extractable immuno sample_type field represents type sample taken test pre 2005 sample type
Biochemistry  Lab Data Restruc,ArithmeticComparator,arithmeticcomparator,biochemistry lab data restruc,This fieldrepresents additional information to be used in conjunction with the numeric result field QuantityValue  The contents should be interpreted along with the QuantityValue  for example  some EGFR results may be reported as QuantityValue   60  with ArithmeticComparator       This means the result is greater than 60  ,fieldrepresents additional information used conjunction numeric result field quantityvalue contents interpreted along quantityvalue example egfr results may reported quantityvalue 60 arithmeticcomparator means result greater 60,object,object,biochemistry lab data restruc arithmeticcomparator fieldrepresents additional information used conjunction numeric result field quantityvalue contents interpreted along quantityvalue example egfr results may reported quantityvalue 60 arithmeticcomparator means result greater 60
Biochemistry  Lab Data Restruc,RangeHighValue,rangehighvalue,biochemistry lab data restruc,Maximum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  ,maximum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time,object,object,biochemistry lab data restruc rangehighvalue maximum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time
Cataracts Biometry Cataract su,IOLPower,iolpower,cataracts biometry cataract su,IOLPower,iolpower,object,object,cataracts biometry cataract su iolpower iolpower
f referral Optimum Patient Car,referral_type,referral_type,f referral optimum patient car,Free text for referral type,free text referral type,object,object,f referral optimum patient car referral_type free text referral type
Biochemistry  Lab Data Restruc,SampleName,samplename,biochemistry lab data restruc,This indicates the type of sample taken for the test  Sample types include  Blood Cerebrospinal Faeces Fluid Fluoride Oxalate Hair Liver Biopsy Miscellaneous Muscle Biopsy Serum Skin Biopsy Stone Sweat Urine Water HIC Observation  Tayside labs report both Serum and Blood samples with SampleName   Blood  The read code value   description can be used to interpret the Sample correctly  This has been confirmed with the Tayside Lab experts  ,indicates type sample taken test sample types include blood cerebrospinal faeces fluid fluoride oxalate hair liver biopsy miscellaneous muscle biopsy serum skin biopsy stone sweat urine water hic observation tayside labs report serum blood samples samplename blood read code value description used interpret sample correctly confirmed tayside lab experts,object,object,biochemistry lab data restruc samplename indicates type sample taken test sample types include blood cerebrospinal faeces fluid fluoride oxalate hair liver biopsy miscellaneous muscle biopsy serum skin biopsy stone sweat urine water hic observation tayside labs report serum blood samples samplename blood read code value description used interpret sample correctly confirmed tayside lab experts
Haematology  Lab Data Restruct,TestSet_ReadCodeDescription,testset_readcodedescription,haematology lab data restruct,This field represents the read code description ,field represents read code description,object,object,haematology lab data restruct testset_readcodedescription field represents read code description
Biochemistry  Lab Data Restruc,Discipline,discipline,biochemistry lab data restruc,This is the discipline code for the laboratory test  For all biochemistry tests  the discipline code is CC  which represents Clinical Chemistry   ,discipline code laboratory test biochemistry tests discipline code cc represents clinical chemistry,object,object,biochemistry lab data restruc discipline discipline code laboratory test biochemistry tests discipline code cc represents clinical chemistry
Cataracts Biometry Cataract su,AConstantDescFE,aconstantdescfe,cataracts biometry cataract su,AConstantDescFE,aconstantdescfe,object,object,cataracts biometry cataract su aconstantdescfe aconstantdescfe
Cataracts Biometry Cataract su,IOLFormulaDescFE,iolformuladescfe,cataracts biometry cataract su,IOLFormulaDescFE,iolformuladescfe,object,object,cataracts biometry cataract su iolformuladescfe iolformuladescfe
Grading Eye images and retinop,procedureInEncounterOrderAsc,procedureinencounterorderasc,grading eye images retinop,Each encounter may have several grading procedures  this gives the order of the procedure within the encounter  starting with the first or primary grade as 1  Each encounter will have its own procedure order,encounter may several grading procedures gives order procedure within encounter starting first primary grade 1 encounter procedure order,object,object,grading eye images retinop procedureinencounterorderasc encounter may several grading procedures gives order procedure within encounter starting first primary grade 1 encounter procedure order
f therapy Optimum Patient Care,dose_id,dose_id,f therapy optimum patient care,Dose index linking d dosage v2,dose index linking dosage v2,object,object,f therapy optimum patient care dose_id dose index linking dosage v2
Cataracts Biometry Cataract su,IOLModel,iolmodel,cataracts biometry cataract su,IOLModel,iolmodel,object,object,cataracts biometry cataract su iolmodel iolmodel
Biochemistry  Lab Data Restruc,RangeUnit,rangeunit,biochemistry lab data restruc,Units of the guideline values presented in the RangeHighValue and RangeLowValue fields  HIC Observation  Don t assume that these units match those of the QuantityValue and Unit  ,units guideline values presented rangehighvalue rangelowvalue fields hic observation dont assume units match quantityvalue unit,object,object,biochemistry lab data restruc rangeunit units guideline values presented rangehighvalue rangelowvalue fields hic observation dont assume units match quantityvalue unit
Haematology  Lab Data Restruct,LocalClinicalCodeDescription,localclinicalcodedescription,haematology lab data restruct,Description of LocalClinicalCode ,description localclinicalcode,object,object,haematology lab data restruct localclinicalcodedescription description localclinicalcode
Immunology  Extractable Immuno,ReadCodeDescription,readcodedescription,immunology extractable immuno,This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  ,textual description supplied local lab systems relevant read code hic observation field appears mapped read code standard mapping read code description often changes possibly time versions read code example 44p may described serum total cholesterol total cholesterol different records,object,object,immunology extractable immuno readcodedescription textual description supplied local lab systems relevant read code hic observation field appears mapped read code standard mapping read code description often changes possibly time versions read code example 44p may described serum total cholesterol total cholesterol different records
Immunology  Extractable Immuno,Low,low,immunology extractable immuno,This field represents the normal lower limit for a laboratory test based on patient age and or sex   ,field represents normal lower limit laboratory test based patient age sex,object,object,immunology extractable immuno low field represents normal lower limit laboratory test based patient age sex
f referral Optimum Patient Car,speciality_term,speciality_term,f referral optimum patient car,Free text for referral specialty,free text referral specialty,object,object,f referral optimum patient car speciality_term free text referral specialty
Cataracts Biometry Cataract su,AConstantDesc,aconstantdesc,cataracts biometry cataract su,AConstantDesc,aconstantdesc,object,object,cataracts biometry cataract su aconstantdesc aconstantdesc
Haematology  Lab Data Restruct,ReadCodeScheme,readcodescheme,haematology lab data restruct,Read code scheme used by the local lab system for read code fields  e g  R1 ,read code scheme used local lab system read code fields e g r1,object,object,haematology lab data restruct readcodescheme read code scheme used local lab system read code fields e g r1
Cataracts Biometry Cataract su,IOLModelFE,iolmodelfe,cataracts biometry cataract su,IOLModelFE,iolmodelfe,object,object,cataracts biometry cataract su iolmodelfe iolmodelfe
Cataracts Biometry Cataract su,AScanDescFE,ascandescfe,cataracts biometry cataract su,AScanDescFE,ascandescfe,object,object,cataracts biometry cataract su ascandescfe ascandescfe
Haematology  Lab Data Restruct,RangeUnit,rangeunit,haematology lab data restruct,Units of the guideline values presented in the RangeHighValue and RangeLowValue fields  HIC Observation  Don t assume that these units match those of the QuantityValue and Unit  ,units guideline values presented rangehighvalue rangelowvalue fields hic observation dont assume units match quantityvalue unit,object,object,haematology lab data restruct rangeunit units guideline values presented rangehighvalue rangelowvalue fields hic observation dont assume units match quantityvalue unit
Cataracts Biometry Cataract su,BiometryTypeDescFE,biometrytypedescfe,cataracts biometry cataract su,BiometryTypeDescFE,biometrytypedescfe,object,object,cataracts biometry cataract su biometrytypedescfe biometrytypedescfe
Biochemistry  Lab Data Restruc,QuantityValue,quantityvalue,biochemistry lab data restruc,The result of the test being carried out  This field contains numeric data only   ,result test carried field contains numeric data,object,object,biochemistry lab data restruc quantityvalue result test carried field contains numeric data
Haematology  Lab Data Restruct,ReadCodeDescription,readcodedescription,haematology lab data restruct,This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  ,textual description supplied local lab systems relevant read code hic observation field appears mapped read code standard mapping read code description often changes possibly time versions read code example 44p may described serum total cholesterol total cholesterol different records,object,object,haematology lab data restruct readcodedescription textual description supplied local lab systems relevant read code hic observation field appears mapped read code standard mapping read code description often changes possibly time versions read code example 44p may described serum total cholesterol total cholesterol different records
Haematology  Lab Data Restruct,TestSet_ReadCodeScheme,testset_readcodescheme,haematology lab data restruct,Read code scheme used by the local lab system for read code fields  e g  R1 ,read code scheme used local lab system read code fields e g r1,object,object,haematology lab data restruct testset_readcodescheme read code scheme used local lab system read code fields e g r1
Grading Eye images and retinop,procedureName,procedurename,grading eye images retinop,The name  type  of the procedure being recorded,name type procedure recorded,object,object,grading eye images retinop procedurename name type procedure recorded
Cataracts Biometry Cataract su,KeratometerDesc,keratometerdesc,cataracts biometry cataract su,KeratometerDesc,keratometerdesc,object,object,cataracts biometry cataract su keratometerdesc keratometerdesc
Haematology  Lab Data Restruct,TestSet_LocalClinicalCodeDescription,testset_localclinicalcodedescription,haematology lab data restruct,Description of LocalClinicalCode ,description localclinicalcode,object,object,haematology lab data restruct testset_localclinicalcodedescription description localclinicalcode
Biochemistry  Lab Data Restruc,ClinicalDataRequired,clinicaldatarequired,biochemistry lab data restruc,Contains comments from the original requestor  May give the reason for requesting the test  or comments on condition  last eaten etc  This field is not populated for legacy  TS   07  data  ,contains comments original requestor may give reason requesting test comments condition last eaten etc field populated legacy ts 07 data,object,object,biochemistry lab data restruc clinicaldatarequired contains comments original requestor may give reason requesting test comments condition last eaten etc field populated legacy ts 07 data
Haematology  Lab Data Restruct,RangeHighValue,rangehighvalue,haematology lab data restruct,Maximum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  ,maximum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time,object,object,haematology lab data restruct rangehighvalue maximum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time
Haematology  Lab Data Restruct,TestSet_LocalClinicalCodeScheme,testset_localclinicalcodescheme,haematology lab data restruct,No Column Description Available,column description available,object,object,haematology lab data restruct testset_localclinicalcodescheme column description available
Cataracts Biometry Cataract su,BiometryTypeDesc,biometrytypedesc,cataracts biometry cataract su,BiometryTypeDesc,biometrytypedesc,object,object,cataracts biometry cataract su biometrytypedesc biometrytypedesc
Biochemistry  Lab Data Restruc,Interpretation,interpretation,biochemistry lab data restruc,Contains comments regarding the result  ,contains comments regarding result,object,object,biochemistry lab data restruc interpretation contains comments regarding result
Haematology  Lab Data Restruct,LocalClinicalCodeScheme,localclinicalcodescheme,haematology lab data restruct,No Column Description Available,column description available,object,object,haematology lab data restruct localclinicalcodescheme column description available
Cataracts Biometry Cataract su,IOLFormulaDesc,iolformuladesc,cataracts biometry cataract su,IOLFormulaDesc,iolformuladesc,object,object,cataracts biometry cataract su iolformuladesc iolformuladesc
f therapy Optimum Patient Care,quantity,quantity,f therapy optimum patient care,Number of units dispensed,number units dispensed,object,object,f therapy optimum patient care quantity number units dispensed
Immunology  Extractable Immuno,Units,units,immunology extractable immuno,This field represents the units of the test code  e g  HGB   g dL    ,field represents units test code e g hgb g dl,object,object,immunology extractable immuno units field represents units test code e g hgb g dl
Biochemistry  Lab Data Restruc,RangeLowValue,rangelowvalue,biochemistry lab data restruc,Minimum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  ,minimum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time,object,object,biochemistry lab data restruc rangelowvalue minimum guideline value test result time testing hic observation ranges vary based relevant criteria age gender guidelines also change time
Cataracts Biometry Cataract su,AConstantValue,aconstantvalue,cataracts biometry cataract su,AConstantValue,aconstantvalue,object,object,cataracts biometry cataract su aconstantvalue aconstantvalue
Observations Eye images and re,procedureName,procedurename,observations eye images,Name of the procedure level the observation is recorded for,name procedure level observation recorded,object,object,observations eye images procedurename name procedure level observation recorded
d practice Optimum Patient Car,system,system,practice optimum patient car,System installed  Emis  System One  Vision  etc ,system installed emis system one vision etc,object,object,practice optimum patient car system system installed emis system one vision etc
Demographics Eye images and re,patSex,patsex,demographics eye images,The sex at birth e g  M,sex birth e g,person,person,demographics eye images patsex sex birth e g
patients Cataract surgery and ,isDead,isdead,patients cataract surgery,has the patient died ,patient died,person,person,patients cataract surgery isdead patient died
Biochemistry  Lab Data Restruc,RequestingPartyPosition,requestingpartyposition,biochemistry lab data restruc,Position held by the party requesting the test results  for example  this might be GP or Consultant  ,position held party requesting test results example might gp consultant,person,person,biochemistry lab data restruc requestingpartyposition position held party requesting test results example might gp consultant
d patient Optimum Patient Care,year_of_birth,year_of_birth,patient optimum patient care,Year of birth  YYYY ,year birth yyyy,person,person,patient optimum patient care year_of_birth year birth yyyy
Demographics Eye images and re,lastModifiedDate,lastmodifieddate,demographics eye images,Date patient demographics was modified,date patient demographics modified,person,person,demographics eye images lastmodifieddate date patient demographics modified
Haematology  Lab Data Restruct,RequestingPartyPosition,requestingpartyposition,haematology lab data restruct,Position held by the party requesting the test results  for example  this might be GP or Consultant  ,position held party requesting test results example might gp consultant,person,person,haematology lab data restruct requestingpartyposition position held party requesting test results example might gp consultant
patients Cataract surgery and ,PerturbeddateOfDeath,perturbeddateofdeath,patients cataract surgery,patients date of death,patients date death,person,person,patients cataract surgery perturbeddateofdeath patients date death
Cataracts Biometry Cataract su,ageAtTimeOfCapture,ageattimeofcapture,cataracts biometry cataract su,patient age,patient age,person,person,cataracts biometry cataract su ageattimeofcapture patient age
patients Cataract surgery and ,patEthnicityDesc,patethnicitydesc,patients cataract surgery,patient s ethnicity description,patients ethnicity description,person,person,patients cataract surgery patethnicitydesc patients ethnicity description
Demographics Eye images and re,isSmoker,issmoker,demographics eye images,This is the current smoking status of the patient e g  FALSE,current smoking status patient e g false,person,person,demographics eye images issmoker current smoking status patient e g false
d patient Optimum Patient Care,current,current,patient optimum patient care,Validity of patient  1   valid  0   non valid ,validity patient 1 valid 0 non valid,person,person,patient optimum patient care current validity patient 1 valid 0 non valid
patients Cataract surgery and ,patGender,patgender,patients cataract surgery,patient s gender,patients gender,person,person,patients cataract surgery patgender patients gender
patients Cataract surgery and ,patEthnicityCode,patethnicitycode,patients cataract surgery,patient s ethnicity code,patients ethnicity code,person,person,patients cataract surgery patethnicitycode patients ethnicity code
patients Cataract surgery and ,PerturbeddateOfBirth,perturbeddateofbirth,patients cataract surgery,patients date of birth,patients date birth,person,person,patients cataract surgery perturbeddateofbirth patients date birth
Demographics Eye images and re,dateOfBirth,dateofbirth,demographics eye images,Patient date of birth e g  1946 02 21,patient date birth e g 1946 02 21,person,person,demographics eye images dateofbirth patient date birth e g 1946 02 21
Cataracts Biometry Cataract su,Biometrist,biometrist,cataracts biometry cataract su,Biometrist,biometrist,person,person,cataracts biometry cataract su biometrist biometrist
d patient Optimum Patient Care,sex_coded,sex_coded,patient optimum patient care,Patient sex  0   Female  1   Male  2   Intersex ,patient sex 0 female 1 male 2 intersex,person,person,patient optimum patient care sex_coded patient sex 0 female 1 male 2 intersex
Demographics Eye images and re,isDead,isdead,demographics eye images,The patient death status e g  FALSE,patient death status e g false,person,person,demographics eye images isdead patient death status e g false
Demographics Eye images and re,dateOfDeath,dateofdeath,demographics eye images,Patient date of death e g  2016 01 14,patient date death e g 2016 01 14,person,person,demographics eye images dateofdeath patient date death e g 2016 01 14
Haematology  Lab Data Restruct,RequestingPartyName,requestingpartyname,haematology lab data restruct,No Column Description Available,column description available,person,person,haematology lab data restruct requestingpartyname column description available
Demographics Eye images and re,patEthnicity,patethnicity,demographics eye images,The patients Ethnicity e g  British,patients ethnicity e g british,person,person,demographics eye images patethnicity patients ethnicity e g british
d patient Optimum Patient Care,status,status,patient optimum patient care,Patient registration status  R   Registered  L   Left  D   Deregistered  T   Temporary  C   Cancelled ,patient registration status r registered l left deregistered temporary c cancelled,person,person,patient optimum patient care status patient registration status r registered l left deregistered temporary c cancelled
f referral Optimum Patient Car,created_datetime,created_datetime,f referral optimum patient car,Record creation time,record creation time,time,time,f referral optimum patient car created_datetime record creation time
d patient Optimum Patient Care,first_clinical_dte,first_clinical_dte,patient optimum patient care,First valid date from clinical table  f clinical ,first valid date clinical table f clinical,time,time,patient optimum patient care first_clinical_dte first valid date clinical table f clinical
d patient Optimum Patient Care,joined_date,joined_date,patient optimum patient care,Date the patient joined the practice,date patient joined practice,time,time,patient optimum patient care joined_date date patient joined practice
d patient Optimum Patient Care,created_datetime,created_datetime,patient optimum patient care,Record creation time,record creation time,time,time,patient optimum patient care created_datetime record creation time
Pathology  Tayside ,DateAuthorised,dateauthorised,pathology tayside,This field represents the date of the first authorisation of a report for the request ,field represents date first authorisation report request,time,time,pathology tayside dateauthorised field represents date first authorisation report request
d patient Optimum Patient Care,first_therapy_dte,first_therapy_dte,patient optimum patient care,First valid date from therapy table  f therapy ,first valid date therapy table f therapy,time,time,patient optimum patient care first_therapy_dte first valid date therapy table f therapy
Grading Eye images and retinop,dateOfEncounter,dateofencounter,grading eye images retinop,Format yyyy mm dd,format yyyy mm dd,time,time,grading eye images retinop dateofencounter format yyyy mm dd
Pathology  Tayside ,DateofReceipt,dateofreceipt,pathology tayside,This field up until the beginning of 2016  reflected the date that the request was booked into the LIMS  From 2016 onwards  it is the date that the request was received in the department  ,field beginning 2016 reflected date request booked lims 2016 onwards date request received department,time,time,pathology tayside dateofreceipt field beginning 2016 reflected date request booked lims 2016 onwards date request received department
d patient Optimum Patient Care,updated_datetime,updated_datetime,patient optimum patient care,Record updated time,record updated time,time,time,patient optimum patient care updated_datetime record updated time
Haematology  Lab Data Restruct,DateTimeReceived,datetimereceived,haematology lab data restruct,No Column Description Available,column description available,time,time,haematology lab data restruct datetimereceived column description available
Pathology  Tayside ,DateofSpecimen,dateofspecimen,pathology tayside,This field represents the date of the procedure that produced the specimen ,field represents date procedure produced specimen,time,time,pathology tayside dateofspecimen field represents date procedure produced specimen
d practice Optimum Patient Car,updated_datetime,updated_datetime,practice optimum patient car,Record updated time,record updated time,time,time,practice optimum patient car updated_datetime record updated time
Cataracts Biometry Cataract su,TimeLocationDesc,timelocationdesc,cataracts biometry cataract su,TimeLocationDesc,timelocationdesc,time,time,cataracts biometry cataract su timelocationdesc timelocationdesc
f clinical Optimum Patient Car,recorded_date,recorded_date,f clinical optimum patient car,Date when record was created in the practice,date record created practice,time,time,f clinical optimum patient car recorded_date date record created practice
d patient Optimum Patient Care,leaving_date,leaving_date,patient optimum patient care,Date the patient left the practice,date patient left practice,time,time,patient optimum patient care leaving_date date patient left practice
Cataracts Biometry Cataract su,TimeIntervalDesc,timeintervaldesc,cataracts biometry cataract su,TimeIntervalDesc,timeintervaldesc,time,time,cataracts biometry cataract su timeintervaldesc timeintervaldesc
f clinical Optimum Patient Car,event_date,event_date,f clinical optimum patient car,Date when the clinical event was logged,date clinical event logged,time,time,f clinical optimum patient car event_date date clinical event logged
Pathology  Tayside ,DateBookedIn,datebookedin,pathology tayside,This field represents the date that the request is booked into the LIMS  Up until the end of 2015  this field will be identical to the Date Received field  From the beginning of 2016  it may differ  ,field represents date request booked lims end 2015 field identical date received field beginning 2016 may differ,time,time,pathology tayside datebookedin field represents date request booked lims end 2015 field identical date received field beginning 2016 may differ
f clinical Optimum Patient Car,created_datetime,created_datetime,f clinical optimum patient car,Record creation time,record creation time,time,time,f clinical optimum patient car created_datetime record creation time
f clinical Optimum Patient Car,updated_datetime,updated_datetime,f clinical optimum patient car,Record updated time,record updated time,time,time,f clinical optimum patient car updated_datetime record updated time
Screening Eye images and retin,dateOfScreening,dateofscreening,screening eye images retin,Format yyyy mm dd,format yyyy mm dd,time,time,screening eye images retin dateofscreening format yyyy mm dd
f therapy Optimum Patient Care,created_datetime,created_datetime,f therapy optimum patient care,Record creation time,record creation time,time,time,f therapy optimum patient care created_datetime record creation time
d patient Optimum Patient Care,last_therapy_dte,last_therapy_dte,patient optimum patient care,Last valid date from therapy table  f therapy   excluding dates that occur after the last extraction ,last valid date therapy table f therapy excluding dates occur last extraction,time,time,patient optimum patient care last_therapy_dte last valid date therapy table f therapy excluding dates occur last extraction
d practice Optimum Patient Car,created_datetime,created_datetime,practice optimum patient car,Record creation time,record creation time,time,time,practice optimum patient car created_datetime record creation time
Cataracts Biometry Cataract su,BiometryDate,biometrydate,cataracts biometry cataract su,BiometryDate,biometrydate,time,time,cataracts biometry cataract su biometrydate biometrydate
f referral Optimum Patient Car,updated_datetime,updated_datetime,f referral optimum patient car,Record updated time,record updated time,time,time,f referral optimum patient car updated_datetime record updated time
d patient Optimum Patient Care,last_clinical_dte,last_clinical_dte,patient optimum patient care,Last valid date from clinical table  excluding administrative codes  9…   and dates that occur after the last extraction ,last valid date clinical table excluding administrative codes 9 dates occur last extraction,time,time,patient optimum patient care last_clinical_dte last valid date clinical table excluding administrative codes 9 dates occur last extraction
f therapy Optimum Patient Care,updated_datetime,updated_datetime,f therapy optimum patient care,Record updated time,record updated time,time,time,f therapy optimum patient care updated_datetime record updated time
Pathology  Tayside ,DateLastAuthorised,datelastauthorised,pathology tayside,This field represents the date of the most recent authorisation of a report for the request  In the majority of the cases  this will be identical to the date authorised  Where the date differs  it is most likely to be caused by the production of a supplementary report with more information  very occasionally because the report has been amended to correct or clarify information  or sometimes for administration purposes and there will be no obvious change to the data ,field represents date recent authorisation report request majority cases identical date authorised date differs likely caused production supplementary report information occasionally report amended correct clarify information sometimes administration purposes obvious change data,time,time,pathology tayside datelastauthorised field represents date recent authorisation report request majority cases identical date authorised date differs likely caused production supplementary report information occasionally report amended correct clarify information sometimes administration purposes obvious change data
Haematology  Lab Data Restruct,DateTimeSampled,datetimesampled,haematology lab data restruct,This is the date and time when the sample was taken from the patient  ,date time sample taken patient,time,time,haematology lab data restruct datetimesampled date time sample taken patient
Haematology  Lab Data Restruct,hic_validFrom,hic_validfrom,haematology lab data restruct,The date the record was loaded by hic into the LIVE hic data repository ,date record loaded hic live hic data repository,time,time,haematology lab data restruct hic_validfrom date record loaded hic live hic data repository
Observations Eye images and re,dateOfObservation,dateofobservation,observations eye images,Name of the observation being recorded,name observation recorded,time,time,observations eye images dateofobservation name observation recorded
f therapy Optimum Patient Care,recorded_date,recorded_date,f therapy optimum patient care,Date when record was created in the practice,date record created practice,time,time,f therapy optimum patient care recorded_date date record created practice
f therapy Optimum Patient Care,event_date,event_date,f therapy optimum patient care,Date when the therapy event was logged,date therapy event logged,time,time,f therapy optimum patient care event_date date therapy event logged
Demographics Eye images and re,firstRegistered,firstregistered,demographics eye images,Date patient was first registered at hospital e g  1978 12 25,date patient first registered hospital e g 1978 12 25,time,time,demographics eye images firstregistered date patient first registered hospital e g 1978 12 25
Biochemistry  Lab Data Restruc,DateTimeSampled,datetimesampled,biochemistry lab data restruc,This is the date and time when the sample was taken from the patient  ,date time sample taken patient,time,time,biochemistry lab data restruc datetimesampled date time sample taken patient
Immunology  Extractable Immuno,Sample_date,sample_date,immunology extractable immuno,This field indicates the date when the sample was taken  It is in the format dd MMM yyyy  e g  12 Oct 2011   Note that in the new system 99 the time element is included aswell as the date  ,field indicates date sample taken format dd mmm yyyy e g 12 oct 2011 note new system 99 time element included aswell date,time,time,immunology extractable immuno sample_date field indicates date sample taken format dd mmm yyyy e g 12 oct 2011 note new system 99 time element included aswell date
Z CHP CASE IN,FALAR,falar,z chp case,IS H  Case Type,h case type,event,event,z chp case falar h case type
Z CHP DRG,CANCEL_FLAG,cancel_flag,z chp drg,IS H  Cancellation Indicator,h cancellation indicator,event,event,z chp drg cancel_flag h cancellation indicator
Z CHP CASE IN,STORN,storn,z chp case,IS H  Cancellation Indicator,h cancellation indicator,event,event,z chp case storn h cancellation indicator
SAP IS H Case Attribute,REONE,reone,sap h case attribute,Other Diagnosis One When Discharge,diagnosis one discharge,event,event,sap h case attribute reone diagnosis one discharge
Z CHP DRG,SOI,soi,z chp drg,IS H  Severity of Illness  for DRG Purposes ,h severity illness drg purposes,event,event,z chp drg soi h severity illness drg purposes
SAP IS H Case Attribute,TCMCD,tcmcd,sap h case attribute,TCM  Traditional Chinese Medicine  Diagnosis,tcm traditional chinese medicine diagnosis,event,event,sap h case attribute tcmcd tcm traditional chinese medicine diagnosis
SAP IS H Case Attribute,ICPOT,icpot,sap h case attribute,Other Surgical Procedure Code  Service ,surgical procedure code service,event,event,sap h case attribute icpot surgical procedure code service
Z CHP DRG,LFDNR,lfdnr,z chp drg,IS H  Sequence Number of Movement,h sequence number movement,event,event,z chp drg lfdnr h sequence number movement
Z CHP DRG,ROM,rom,z chp drg,IS H  Risk of Mortality  for DRG Purposes ,h risk mortality drg purposes,event,event,z chp drg rom h risk mortality drg purposes
Z CHP DRG,COST_WEIGHT,cost_weight,z chp drg,IS H  Cost Weight for DRGs,h cost weight drgs,event,event,z chp drg cost_weight h cost weight drgs
SAP IS H Case Attribute,OURUT,ourut,sap h case attribute,External Causes for Injury and Poisoning,external causes injury poisoning,event,event,sap h case attribute ourut external causes injury poisoning
Z CHP CASE OUT,BEWTY,bewty,z chp case,Movement Category,movement category,event,event,z chp case bewty movement category
Z CHP Procedure,LNRIC,lnric,z chp procedure,IS H  Sequence Number of Surgical Procedure Code,h sequence number surgical procedure code,event,event,z chp procedure lnric h sequence number surgical procedure code
Z CHP CASE IN,LFDNR,lfdnr,z chp case,IS H  Sequence Number of Movement,h sequence number movement,event,event,z chp case lfdnr h sequence number movement
Z CHP Procedure,STORN,storn,z chp procedure,IS H  Cancellation Indicator,h cancellation indicator,event,event,z chp procedure storn h cancellation indicator
Z CHP DRG,LFDNR,lfdnr,z chp drg,IS H  Sequence Number of Movement,h sequence number movement,event,event,z chp drg lfdnr h sequence number movement
Z CHP CASE OUT,LFDNR,lfdnr,z chp case,IS H  Sequence Number of Movement,h sequence number movement,event,event,z chp case lfdnr h sequence number movement
Z CHP DRG,DRG_SEQNO,drg_seqno,z chp drg,Sequence Number of a Case Related DRG,sequence number case related drg,event,event,z chp drg drg_seqno sequence number case related drg
